,Address,Suburb,Price,Bedrooms,Bathrooms,Garage,Land_Area,Floor_Area,Build_Year,Cbd_Dist,Nearest_Stn,Nearest_Stn_Dist,Date_Sold,Postcode,Nearest_Sch,Nearest_Sch_Dist
29,1 Bellata Place,Kenwick,275000,3,1,1,570,108,1996,15.5,Madding,1.9,04-2018,6107,Rehoboth Christian College,1.3
30,1 Bellier Place,Hamilton Hill,410000,4,2,1,808,155,1983,16.7,Fremantle Station,5.8,12-2019,6163,Port School,1.2
31,1 Belmont Close,Port Kennedy,315000,4,2,2,550,127,1999,46.8,Warnbro Station,4.3,12-2020,6172,Warnbro Community High School,2.0
32,1 Benowa Drive,Glen Forrest,600000,4,2,4,2028,222,1988,24.0,Midland Station,10.4,08-2015,6071,Helena College,1.6
33,1 Bianco Place,Secret Harbour,400000,4,2,2,672,186,2002,50.4,Warnbro Station,7.9,09-2019,6173,Comet Bay College,2.2
34,1 Bignell Place,Herne Hill,350000,3,1,2,797,177,1974,20.9,Midland Station,7.6,08-2013,6056,Swan Christian College,3.8
35,1 Bindoon Close,Gwelup,835000,4,2,2,480,170,1998,10.8,Warwick Station,2.8,06-2016,6018,Balcatta Senior High School,1.5
36,1 Binnia Mews,Harrisdale,482000,4,2,2,469,152,2008,19.0,Cockburn Central Station,5.7,11-2020,6112,Carey Baptist College,1.8
37,1 Binns Court,North Fremantle,1260000,3,3,2,354,227,2000,12.9,North Fremantle Station,0.4,11-2016,6159,Iona Presentation College,2.4
38,1 Bishops Close,Quinns Rocks,405000,3,2,4,781,156,1989,34.8,Butler Station,3.8,03-2019,6030,Peter Moyes Anglican Community School,0.8
39,1 Bittern Close,Maida Vale,465000,3,2,2,620,143,2002,14.8,Midland Station,7.3,07-2019,6057,Darling Range Sports College,2.3
40,1 Blato Place,Spearwood,560000,5,2,2,592,168,1996,19.8,Cockburn Central Station,7.5,12-2018,6163,Port School,3.7
41,1 Bohemia Way,Parkwood,380000,3,1,2,979,122,1978,11.3,Thornlie Station,4.4,05-2016,6147,Lynwood Senior High School,1.1
42,1 Boncath Road,Butler,360000,3,2,2,397,130,2006,38.0,Butler Station,0.4,12-2020,6036,Butler College,1.7
43,1 Bonita Way,Tapping,540000,4,2,2,641,221,2005,26.9,Currambine Station,4.8,03-2018,6065,Joseph Banks Secondary College,2.0
44,1 Boronia Court,Thornlie,420000,3,2,2,680,163,1991,16.2,Thornlie Station,3.4,06-2020,6108,Thornlie Senior High School,1.7
45,1 Borough Road,Baldivis,330000,4,2,2,495,171,2011,45.5,Warnbro Station,5.6,12-2020,6171,Tranby College,2.7
46,1 Bourke Street,Kensington,705000,3,1,6,774,132,1952,4.5,Oats Street Station,3.2,10-2017,6151,Kent Street Senior High School,1.1
47,1 Bowood Cove,Kiara,615000,4,2,2,818,247,1994,10.9,Bassendean Station,2.6,03-2016,6054,Kiara College,0.5
48,1 Bradbury Road,Hamilton Hill,565000,3,2,2,775,151,1960,15.5,Fremantle Station,4.8,05-2020,6163,Seton Catholic College,0.8
49,1 Bradford Street,Menora,850000,3,1,1,917,120,1959,3.5,Mount Lawley Station,2.1,10-2013,6050,Mount Lawley Senior High School,0.4
50,1 Bradstocks Grove,Southern River,780000,4,2,2,447,305,2015,18.6,Thornlie Station,5.8,09-2018,6110,Providence Christian College,1.5
51,1 Bramley Way,Bibra Lake,520000,3,3,2,358,154,2001,17.1,Cockburn Central Station,3.9,03-2018,6163,Perth Waldorf School,1.5
52,1 Brassey Street,Swanbourne,1100000,3,1,1,619,150,1945,8.8,Swanbourne Station,0.7,12-2016,6010,Scotch College,0.6
53,1 Brentwood Way,The Vines,590000,5,2,2,834,246,2004,26.4,Midland Station,15.6,03-2020,6069,Holy Cross College,4.0
54,1 Brilliant Rise,Stratton,312000,4,2,3,561,101,1993,19.4,Midland Station,4.4,08-2018,6056,Swan View Senior High School,2.2
55,1 Briston Place,North Beach,900000,3,2,3,372,213,2008,13.4,Warwick Station,3.4,08-2016,6020,Carine Senior High School,1.3
56,1 Brittain Avenue,Madeley,580000,4,2,2,541,188,2004,16.0,Greenwood Station,3.9,07-2017,6065,Kingsway Christian College,1.3
57,1 Brix Street,Wembley Downs,1310000,4,2,2,544,246,2010,8.7,Glendalough Station,4.4,07-2019,6019,Hale School,0.9
58,1 Brixton Road,Bentley,470000,3,2,2,295,110,1950,8.0,Welshpool Station,1.3,02-2018,6102,Canning College,1.8
59,1 Bruning Road,Manning,717000,3,2,2,578,176,1995,6.4,Canning Bridge Station,1.4,02-2018,6152,Como Secondary College,0.6
60,1 Bull Place,Queens Park,387000,4,1,4,380,114,1998,9.5,Queens Park Station,0.6,09-2018,6107,St Norbert College,0.3
61,1 Bynder Lane,Medina,330000,3,2,2,233,111,2014,31.9,Kwinana Station,3.3,07-2015,6167,Gilmore College,1.0
62,1 Cadiz Way,Bullsbrook,380000,3,2,2,350,156,2016,35.2,Midland Station,24.6,06-2016,6084,Holy Cross College,14.3
63,1 Caladenia Way,Koongamia,85000,2,1,2,828,117,1965,17.8,Midland Station,4.3,10-1998,6056,Swan View Senior High School,2.5
64,1 Cam Court,Merriwa,345000,3,2,2,603,128,1992,34.5,Butler Station,3.8,06-2017,6030,Alkimos Baptist College,0.9
65,1 Camden Boulevard,Aubin Grove,528000,4,2,2,619,180,2008,24.1,Cockburn Central Station,4.9,03-2018,6164,Atwell College,2.8
66,1 Cameron Street,Karrinyup,1350000,4,1,5,802,266,2012,12.0,Warwick Station,3.5,03-2018,6018,St Mary'S Anglican Girls' School,1.1
67,1 Camira Place,Gooseberry Hill,735000,4,2,2,1940,223,1982,18.7,Midland Station,8.5,07-2015,6076,Kalamunda Senior High School,3.0
68,1 Camrose Lane,Darch,442500,4,2,2,529,176,2005,15.4,Greenwood Station,6.4,11-2019,6065,Ashdale Secondary College,0.9
69,1 Canarias Way,Hillarys,1015000,3,2,2,500,312,2003,18.6,Greenwood Station,3.9,08-2018,6025,Sacred Heart College,1.2
70,1 Cannon Court,Alexander Heights,530000,3,2,4,771,200,1985,13.5,Warwick Station,7.5,05-2016,6064,Mercy College,2.3
71,1 Canny Road,St James,515000,3,1,2,688,90,1958,6.8,Welshpool Station,1.7,06-2019,6102,Canning College,1.4
72,1 Carnegie Road,Bassendean,1100000,4,2,4,1012,251,2005,10.5,Success Hill Station,0.8,11-2018,6054,Cyril Jackson Senior Campus,1.5
73,1 Carroll Street,Ardross,1265000,4,3,2,590,261,2005,8.5,Canning Bridge Station,3.0,02-2018,6153,Applecross Senior High School,0.6
74,1 Cartland Court,Bedfordale,750000,4,3,2,4225,236,2003,28.6,Armadale Station,4.1,08-2019,6112,Southern Hills Christian College,3.9
75,1 Caterpillar Road,Success,472500,4,2,4,446,147,2008,22.7,Cockburn Central Station,3.6,07-2018,6164,Atwell College,2.1
76,1 Cessford Close,Leda,380000,5,2,2,642,153,1994,35.0,Wellard Station,1.2,04-2015,6170,Peter Carnley Anglican Community School,1.2
77,1 Challenger Avenue,Manning,590000,3,2,2,449,179,2001,6.8,Canning Bridge Station,1.6,04-2019,6152,Como Secondary College,1.0
78,1 Chamberlain Circle,Bateman,835000,4,2,2,727,179,1985,11.3,Bull Creek Station,0.8,11-2018,6150,Corpus Christi College,0.8
79,1 Charleston Road,Eglinton,495000,4,2,2,432,155,2015,43.7,Butler Station,5.4,02-2016,6034,Yanchep Secondary College,5.3
80,1 Chauvel Court,Kiara,390000,4,2,3,543,111,1994,11.0,Bassendean Station,2.1,06-2012,6054,Kiara College,1.2
81,1 Chester Court,Orelia,280000,3,1,2,806,119,1970,31.9,Kwinana Station,1.5,03-2017,6167,Gilmore College,1.2
82,1 Chiddington Street,Beckenham,355000,3,1,2,953,140,1974,13.3,Kenwick Station,0.9,02-2017,6107,Communicare Academy,0.9
83,1 Chipala Court,Edgewater,465000,4,2,4,697,160,1987,20.8,Edgewater Station,1.2,01-2016,6027,Mater Dei College,1.7
84,1 Claret Ash Court,Helena Valley,685000,4,2,2,1012,180,1994,16.6,Midland Station,3.6,04-2015,6056,Youth Futures Community School,3.1
85,1 Clarke Street,East Cannington,360000,3,2,2,218,130,2006,10.9,Canning,0.4,03-2016,6107,Sevenoaks Senior College,0.7
86,1 Clearwater Way,Singleton,320000,4,2,2,550,185,2006,54.6,Mandurah Station,10.3,06-2020,6175,Comet Bay College,2.2
87,1 Clifford Loop,Darch,492000,3,2,2,289,122,2008,15.1,Greenwood Station,6.1,04-2016,6065,Ashdale Secondary College,0.9
88,1 Cliverton Court,Marmion,974000,5,2,2,766,290,1990,15.2,Warwick Station,3.6,02-2013,6020,Carine Senior High School,1.9
89,1 Clovertree Street,Maddington,435000,4,2,5,1062,177,1988,17.8,Gosnells Station,2.0,09-2017,6109,Lumen Christi College,1.6
90,1 Cobea Court,Mount Claremont,900000,3,2,2,367,160,1995,6.9,Loch Street Station,0.6,06-2017,6010,John Xxiii College,0.8
91,1 Cockman Road,Greenwood,405000,3,1,3,698,110,1975,13.9,Warwick Station,2.1,08-2018,6024,Warwick Senior High School,0.6
92,1 Cohen Place,Beechboro,290000,3,1,1,782,111,1978,12.4,Success Hill Station,2.8,12-2018,6063,Kiara College,1.8
93,1 Collier Street,Wembley,1160000,2,2,1,635,201,1950,4.6,Glendalough Station,1.8,12-2019,6014,Bold Park Community School,0.8
94,1 Colmworth Way,Butler,415000,3,2,2,555,159,2004,36.7,Butler Station,1.7,11-2019,6036,Butler College,0.5
95,1 Colonial Mews,Edgewater,525000,4,2,1,758,125,1984,22.1,Edgewater Station,0.7,10-2017,6027,Mater Dei College,0.3
96,1 Conical Way,Harrisdale,629000,4,2,3,578,229,2012,19.5,Cockburn Central Station,6.8,09-2017,6112,Carey Baptist College,0.7
97,1 Convallis Vista,The Vines,600000,4,2,2,510,217,2007,25.2,Midland Station,14.3,11-2020,6069,Holy Cross College,3.1
98,1 Corbin Gate,Madeley,427000,3,2,2,618,134,2005,16.3,Greenwood Station,4.2,03-2020,6065,Kingsway Christian College,1.1
99,1 Coronado Ridge,Iluka,1015000,5,3,2,911,309,1995,26.1,Joondalup Station,3.2,02-2017,6028,Prendiville Catholic College,1.4
100,1 Corvette Close,Waikiki,445000,4,2,2,747,210,1991,42.5,Warnbro Station,1.9,11-2019,6169,South Coast Baptist College,1.2
101,1 Craigie Place,Mundaring,610000,4,2,3,1869,167,1985,29.1,Midland Station,15.3,12-2018,6073,Mundaring Christian College,1.9
102,1 Crest Grove,Ballajura,465000,4,2,2,803,173,1988,13.3,Maylands Station,10.3,08-2019,6066,Ballajura Community College,1.1
103,1 Creswick Cross,Kiara,454000,4,2,2,545,160,1993,10.8,Bassendean Station,2.6,09-2009,6054,Kiara College,0.5
104,1 Criollo Place,Stratton,380000,3,2,1,514,131,2000,20.2,Midland Station,5.2,10-2014,6056,Swan View Senior High School,2.3
105,1 Crivelli Parkway,Ashby,382000,4,2,2,401,186,2005,25.1,Joondalup Station,3.4,06-2020,6065,Wanneroo Secondary College,3.1
106,1 Crowley Vista,Salter Point,1150000,4,2,2,527,209,2001,7.4,Canning Bridge Station,1.1,01-2014,6152,Aquinas College,0.8
107,1 Curruthers Road,Mount Pleasant,2200000,2,1,2,1100,497,1958,9.3,Bull Creek Station,1.2,12-2018,6153,Aquinas College,1.3
108,1 Cypress Mews,Warnbro,375000,4,2,4,580,140,2006,42.9,Warnbro Station,1.1,09-2018,6169,South Coast Baptist College,1.4
109,1 Dagostino Road,Byford,495000,4,2,2,694,246,2010,32.6,Armadale Station,7.9,11-2020,6122,Byford Secondary College,0.9
110,1 Dalkey Way,Darch,445000,3,2,2,327,171,2008,15.9,Greenwood Station,5.8,09-2016,6065,Ashdale Secondary College,0.3
111,1 Danzil Street,Willagee,515000,4,2,1,450,150,2002,12.6,Fremantle Station,5.0,07-2019,6156,Melville Senior High School,1.0
112,1 Datchet Turn,Bertram,270000,3,2,2,271,109,2011,32.0,Kwinana Station,0.4,08-2020,6167,The King'S College,1.9
113,1 David Street,Mullaloo,780000,5,2,2,810,180,1977,22.1,Edgewater Station,4.0,04-2018,6027,St Mark'S Anglican Community School,1.9
114,1 Davis Court,Woodlands,1280000,4,3,4,701,264,1980,7.8,Stirling Station,1.5,08-2017,6018,Churchlands Senior High School,1.4
115,1 Daybreak Loop,Wellard,410000,4,2,2,465,206,2015,34.6,Wellard Station,3.6,03-2018,6170,The King'S College,1.8
116,1 Dean Place,Lockridge,425000,4,2,1,666,143,1983,11.6,Bassendean Station,2.9,01-2014,6054,Kiara College,1.0
117,1 Delphi Court,Rossmoyne,1330000,3,2,2,1133,135,1974,9.3,Bull Creek Station,2.0,02-2014,6148,Aquinas College,1.2
118,1 Denton Street,Wembley,732000,3,1,2,328,145,1990,4.2,Subiaco Station,0.8,03-2019,6014,Perth Modern School,1.9
119,1 Deverell Way,Bentley,465000,3,2,3,327,136,2012,8.1,Welshpool Station,2.4,01-2019,6102,Canning College,1.0
120,1 Dilkera Place,Quinns Rocks,380000,3,2,2,646,168,1995,35.1,Butler Station,3.4,01-2020,6030,Alkimos Baptist College,0.9
121,1 Discovery Circuit,Iluka,1300000,5,3,4,770,350,2002,26.6,Currambine Station,3.0,03-2018,6028,Prendiville Catholic College,2.0
122,1 Disney Street,Brentwood,710250,4,2,2,434,139,1990,10.1,Bull Creek Station,1.0,05-2016,6153,Corpus Christi College,1.6
123,1 Dolomite Road,Carine,835000,5,2,2,755,197,1986,13.9,Warwick Station,2.6,02-2018,6020,Carine Senior High School,0.5
124,1 Doradeen Close,Hillman,275000,3,1,1,761,94,1988,38.3,Rockingham Station,0.5,07-2015,6168,Kolbe Catholic College,1.2
125,1 Driftwood Way,Bennett Springs,400000,4,2,2,582,153,2001,13.6,Bassendean Station,5.2,01-2017,6063,Kiara College,2.6
126,1 Driver Road,Darch,532000,4,2,2,653,191,2004,15.5,Greenwood Station,6.2,08-2016,6065,Ashdale Secondary College,0.7
127,1 Durant Way,Brentwood,820000,3,2,2,419,162,2006,10.4,Bull Creek Station,0.3,09-2015,6153,Corpus Christi College,1.5
128,1 Duxford Street,Butler,427000,4,2,4,673,153,2002,36.9,Butler Station,1.6,11-2018,6036,Butler College,0.9
129,1 East Street,Mount Hawthorn,660000,2,2,2,376,100,1962,4.1,Glendalough Station,1.3,07-2019,6016,Bold Park Community School,0.7
130,1 Eastfield Court,Ferndale,250000,3,1,1,955,396,2017,11.4,Queens Park Station,2.7,07-2016,6148,Fountain College,1.6
131,1 Easton Court,Boya,508000,4,2,2,1010,157,1993,18.6,Midland Station,5.7,05-2015,6056,Treetops Montessori School,2.1
132,1 Edelweiss Way,Beckenham,415000,4,2,2,538,115,1994,12.3,Beckenham Station,0.7,09-2018,6107,Rehoboth Christian College,2.0
133,1 Edgecombe Pass,Aveley,550000,4,3,3,741,254,2008,21.5,Woodbridge Station,11.2,05-2019,6069,Swan Valley Anglican Community School,0.3
134,1 El Porto Way,Iluka,935000,4,2,2,623,280,2007,27.5,Currambine Station,2.0,02-2020,6028,Prendiville Catholic College,2.8
135,1 Elfin Grove,Warnbro,380000,3,2,3,759,179,1994,44.0,Warnbro Station,1.5,03-2018,6169,Warnbro Community High School,0.8
136,1 Empress Crescent,Atwell,470000,4,2,2,701,168,1998,19.7,Cockburn Central Station,0.7,03-2019,6164,Atwell College,1.7
137,1 Epping Court,High Wycombe,475000,4,2,2,500,197,2007,14.5,Midland Station,4.7,09-2020,6057,Youth Futures Community School,4.6
138,1 Estevan Way,Ferndale,490000,4,2,5,700,79,1975,11.1,Queens Park Station,3.0,02-2018,6148,Fountain College,0.9
139,1 Ethel Street,Guildford,715000,4,2,1,380,160,1900,11.7,Guildford Station,0.2,02-2015,6055,Guildford Grammar School,1.6
140,1 Eudora Way,North Coogee,1130000,4,2,2,495,241,2009,19.2,Fremantle Station,6.3,10-2017,6163,Port School,2.8
141,1 Fairetha Court,Ascot,720000,4,3,2,528,189,1997,8.7,Bassendean Station,2.6,09-2014,6104,Cyril Jackson Senior Campus,1.6
142,1 Fallow Crescent,Spearwood,475000,4,2,2,427,142,1994,19.6,Cockburn Central Station,7.7,01-2019,6163,Port School,3.5
143,1 Fantail Drive,Bibra Lake,545000,4,2,2,735,170,1984,17.2,Cockburn Central Station,3.7,02-2017,6163,Perth Waldorf School,1.7
144,1 Farrington Street,Warnbro,317500,4,2,2,872,153,1965,43.8,Warnbro Station,1.9,03-2018,6169,Living Waters Lutheran College,1.0
145,1 Federal Street,Osborne Park,465000,3,2,2,337,117,2002,6.8,Glendalough Station,1.9,07-2020,6017,Servite College,0.9
146,1 Felpham Court,Success,449000,4,2,2,502,185,2004,20.6,Cockburn Central Station,1.8,08-2020,6164,Emmanuel Catholic College,1.0
147,1 First Avenue,Woodbridge,525000,3,1,2,607,94,1969,14.4,Woodbridge Station,0.1,11-2007,6056,Governor Stirling Senior High School,0.4
148,1 Fischer Road,Darlington,900000,4,3,3,2152,260,1982,21.5,Midland Station,7.7,08-2017,6070,Helena College,1.0
149,1 Flello Rise,Bedfordale,950000,4,3,3,3102,287,2009,29.7,Armadale Station,4.3,12-2014,6112,Southern Hills Christian College,2.7
150,1 Flint Close,Pearsall,522000,4,2,2,641,222,2002,19.9,Edgewater Station,3.6,02-2019,6065,Alta-1,0.9
151,1 Florey Place,Huntingdale,464000,4,1,4,700,182,1986,17.9,Gosnells Station,2.8,07-2016,6110,Southern River College,0.9
152,1 Forrest Court,Kiara,490000,4,2,2,720,166,1989,10.4,Ashfield Station,3.0,10-2008,6054,Kiara College,1.0
153,1 Fortuna View,Iluka,1160000,4,2,3,696,329,2010,26.9,Currambine Station,2.9,07-2019,6028,Prendiville Catholic College,2.2
154,1 Fortune Street,Balcatta,460000,3,2,2,322,109,1997,8.1,Stirling Station,2.1,07-2018,6021,Balcatta Senior High School,1.6
155,1 Fourth Avenue,Rossmoyne,872000,4,2,2,1029,147,1989,9.3,Bull Creek Station,2.0,01-2014,6148,Rossmoyne Senior High School,1.2
156,1 Fran Court,Merriwa,335000,3,2,2,653,168,2002,34.0,Clarkson Station,3.1,04-2017,6030,Quinns Baptist College,0.4
157,1 Frederic Street,Koongamia,83000,2,1,2,935,100,1959,17.6,Midland Station,4.1,06-1998,6056,Swan View Senior High School,2.5
158,1 Freedman Road,Menora,925000,4,2,4,792,237,1969,3.9,Mount Lawley Station,2.6,01-2018,6050,Mount Lawley Senior High School,0.8
159,1 Gaffin Way,Kwinana Town Centre,330000,3,2,2,203,108,2015,32.5,Wellard Station,2.4,11-2015,6167,Gilmore College,0.4
160,1 Gali Lane,City Beach,1930000,4,3,2,440,307,2012,8.8,Swanbourne Station,6.0,04-2016,6015,Newman College,1.8
161,1 Galilee Way,Baldivis,547000,3,2,2,749,259,2009,43.4,Warnbro Station,5.0,07-2020,6171,Baldivis Secondary College,1.2
162,1 Gannett Street,Bateman,460000,2,1,1,807,76,1969,10.6,Bull Creek Station,0.6,07-2019,6150,Corpus Christi College,1.2
163,1 Genesta Place,Two Rocks,405000,4,2,2,819,139,1986,57.2,Butler Station,19.1,01-2016,6037,Yanchep Secondary College,8.4
164,1 Georges Close,Kallaroo,1075000,4,2,3,773,330,1989,20.6,Whitfords Station,3.5,08-2016,6025,St Mark'S Anglican Community School,0.6
165,1 Gerygone Pass,Tapping,465000,3,2,2,420,185,2007,26.7,Currambine Station,3.6,08-2017,6065,Joseph Banks Secondary College,2.6
166,1 Ghost Gum Boulevard,Banksia Grove,335000,4,2,2,373,116,2004,28.8,Clarkson Station,6.1,08-2017,6031,Joseph Banks Secondary College,0.5
167,1 Gianatti Ramble,East Cannington,745000,4,2,2,462,337,2008,11.7,Beckenham Station,1.2,08-2016,6107,Sevenoaks Senior College,1.7
168,1 Gidgee Cove,Kenwick,385000,3,2,2,416,141,2015,15.1,Madding,1.7,05-2018,6107,Rehoboth Christian College,0.8
169,1 Gilchrist Avenue,Bibra Lake,480000,3,1,2,700,102,1980,15.0,Murdoch Station,2.3,08-2016,6163,Leeming Senior High School,1.8
170,1 Gillespie Court,Lockridge,330000,3,1,5,351,100,2000,11.1,Bassendean Station,1.9,09-2015,6054,Kiara College,1.6
171,1 Giudice Way,Yangebup,885000,4,2,2,641,255,2009,19.9,Cockburn Central Station,4.7,11-2020,6164,Divine Mercy College,1.6
172,1 Glasson Way,Darch,610000,4,2,2,596,247,2007,16.4,Whitfords Station,5.5,08-2016,6065,Ashdale Secondary College,0.6
173,1 Glebe Close,Mindarie,830000,4,2,2,726,266,2001,32.9,Clarkson Station,2.5,01-2018,6030,Quinns Baptist College,0.9
174,1 Gloucester Road,Kalamunda,485000,4,2,1,997,179,1970,19.7,Madding,10.3,07-2018,6076,Kalamunda Senior High School,1.1
175,1 Gold Lane,Iluka,769000,5,2,2,638,323,2005,27.5,Currambine Station,2.0,06-2017,6028,Prendiville Catholic College,2.8
176,1 Goldsmith Drive,Wellard,900000,4,2,5,2929,346,1998,34.8,Wellard Station,1.2,12-2018,6170,The King'S College,1.3
177,1 Gordon Place,Huntingdale,410000,3,2,1,675,143,1985,17.4,Gosnells Station,2.9,05-2016,6110,Southern River College,1.4
178,1 Gorman Place,Calista,475000,4,2,2,559,201,2006,33.2,Wellard Station,2.2,12-2015,6167,Gilmore College,1.3
179,1 Graduate Place,Marangaroo,385000,4,2,1,613,132,1993,14.2,Warwick Station,5.2,07-2019,6064,Girrawheen Senior High School,1.3
180,1 Grahame Street,Mount Helena,385000,4,1,2,1635,134,1975,34.8,Midland Station,20.3,05-2019,6082,Eastern Hills Senior High School,0.8
181,1 Grant Street,Duncraig,730000,5,2,2,576,183,2012,16.0,Greenwood Station,1.9,02-2020,6023,Duncraig Senior High School,0.9
182,1 Gray Road,Gooseberry Hill,560000,5,3,2,2646,270,1990,16.7,Midland Station,8.2,05-2016,6076,Kalamunda Senior High School,2.9
183,1 Gray Road,Haynes,720000,4,2,2,2000,232,1993,24.7,Armadale Station,2.9,01-2013,6112,Cecil Andrews College,1.1
184,1 Green Street,Kewdale,505000,3,1,2,688,132,1986,8.1,Queens Park Station,2.9,05-2017,6105,Australian Islamic College - Kewdale,0.5
185,1 Greygum Rise,Kenwick,362500,5,2,1,515,153,1998,15.3,Madding,1.4,07-2019,6107,Rehoboth Christian College,1.0
186,1 Grid Court,Beldon,487000,3,1,2,685,124,1983,22.0,Edgewater Station,1.6,02-2017,6027,Belridge Secondary College,0.3
187,1 Grimsay Road,Ardross,600000,3,1,3,380,95,1970,8.3,Canning Bridge Station,2.5,08-2016,6153,Applecross Senior High School,0.6
188,1 Grove End Ridge,Mount Claremont,1675000,4,3,2,1055,299,2000,7.4,Claremont Station,1.8,10-2017,6010,John Xxiii College,0.5
189,1 Grove Street,Shoalwater,315000,3,1,1,825,109,1980,40.2,Rockingham Station,4.6,09-2017,6169,Rockingham Senior High School,2.3
190,1 Hadlow Court,Leeming,428000,4,3,4,803,204,1980,13.5,Murdoch Station,1.6,11-2018,6149,Leeming Senior High School,0.9
191,1 Hamlyn Glen,Kiara,405000,3,1,3,975,126,1993,10.6,Ashfield Station,3.4,07-2012,6054,Kiara College,0.5
192,1 Hanrahan Loop,Kardinya,643000,4,2,2,701,188,1982,14.0,Murdoch Station,4.3,10-2018,6163,North Lake Senior Campus,1.0
193,1 Hansen Vista,Landsdale,538000,5,2,2,556,212,2006,15.6,Greenwood Station,7.7,07-2019,6065,Landsdale Christian School,0.7
194,1 Hardey Road,Serpentine,375000,4,2,4,2000,127,1995,47.7,Warnbro Station,20.1,09-2014,6125,Court Grammar School,11.1
